French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
aucun,no
eux,them
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
pendant,while
revoir,meet again
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
sois,be
matin,morning
tellement,so much
point,point
venu,came
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
plutôt,rather
aura,will have
